application_id,received,status,license_class,legal_name,trade_name,premises_address,city,zip,county
NA-0071-26-127520,2026-09-16,IntakeComplete,Grocery Store,F Top Deli and Grill Inc.,,2143 Nostrand Ave,Brooklyn,11210,Kings
NA-0071-26-127510,2026-09-16,IntakeComplete,Grocery Store,507 Grand Convenience Corp.,,507 Grand St,New York,10002,New York
NA-0081-26-127500,2026-09-16,IntakeComplete,Grocery Store,Spring Valley Deli I Corp,,130 Nassau Ave,Brooklyn,11222,Kings
NA-0100-26-127492,2026-09-16,IntakeComplete,Liquor Store,Signature Spirit & Wine Inc.,Wines & Spirits of Howard Beach,159-26 Cross bay Blvd,Howard Beach,11414,Queens
NA-0081-26-127496,2026-09-16,IntakeComplete,Grocery Store,1 Stop Top Deli and Grill Inc,,87-94 Parsons Blvd,Jamaica,11432,Queens
NA-0267-26-127485,2026-09-16,IntakeComplete,Food & Beverage Business,Nagi Group Inc,,158 Bedford Ave,Brooklyn,11249,Kings
NA-0240-26-127424,2026-09-16,IntakeComplete,Restaurant,BON GA Inc.,,408 E 64th St,New York,10065,New York
NA-0340-26-127481,2026-09-16,IntakeComplete,Restaurant,WWLJ LLC,,2120 Broadhollow Rd,Farmingdale,11735,Suffolk
NA-0340-26-227473,2026-09-16,IntakeComplete,Restaurant,M & J Hana Latham Inc,,579 Troy Schenectady Rd Unit 5,Latham,12110,Albany
NA-0056-26-227475,2026-09-16,IntakeComplete,Distiller Class D (Farm Distiller),100 ACRE WOOD VINEYARD LLC,Clover Pond Vineyard,100 Acre Wood Ln,Altamont,12009,Albany
NA-0081-26-227469,2026-09-16,IntakeComplete,Grocery Store,Shiv Onestop Inc.,,587 E Main St,Malone,12953,Franklin
NA-0370-26-227419,2026-09-15,IntakeComplete,Food & Beverage Business,Mojo Albany LLC,,199 Lark St,Albany,12210,Albany
NA-0340-26-127403,2026-09-15,IntakeComplete,Restaurant,The 1908 New York LLC and Dinex NYC Restaurant Services LLC,,"665 5th Avenue, 27th-28th Floors",New York,10022,New York
NA-0267-26-127401,2026-09-15,IntakeComplete,Food & Beverage Business,OMAKASE BY KORAMI NY INC.,,400 W 50th St,New York,10019,New York
NA-0081-26-127396,2026-09-15,IntakeComplete,Grocery Store,J & K FIRST AVE CORP.,The Hungry Bean,45 1st Ave,New York,10003,New York
NA-0267-26-127394,2026-09-15,IntakeComplete,Food & Beverage Business,MEET THE VOORHIES CORP.,Sayra's Wine Bar,101 W Park Ave,Long Beach,11561,Nassau
NA-0340-26-127389,2026-09-15,IntakeComplete,Restaurant,Jori LLC,,170 Thompson St,New York,10012,New York
NA-0340-26-127381,2026-09-15,IntakeComplete,Restaurant,"AMY AND JACK, LLC",Jack D's,75 Rockefeller Plz,New York,10019,New York
NA-0370-26-127370,2026-09-15,IntakeComplete,Food & Beverage Business,Wahala Lounge LLC,,450 Nostrand Ave,Brooklyn,11216,Kings
NA-0025-26-327368,2026-09-15,IntakeComplete,Farm Cidery,Oak Hill Orchard LLC,Three Falls Cider and Castile Cider Mill,29 E Park Rd,Castile,14427,Wyoming
NA-0100-26-127374,2026-09-15,IntakeComplete,Liquor Store,TOV WINE INC.,,608 E New York Ave,Brooklyn,11203,Kings
NA-0240-26-127359,2026-09-15,IntakeComplete,Restaurant,HUEGAR LLC,Sushi Roll Club,627 Franklin Ave,Brooklyn,11238,Kings
NA-0071-26-127348,2026-09-15,IntakeComplete,Grocery Store,Cambria Heights Grocery LLC,,227-09 Linden Blvd,Cambria Heights,11411,Queens
NA-0340-26-127314,2026-09-15,IntakeComplete,Restaurant,Chafa Holdings LLC,,365 W 50th St,New York,10019,New York
NA-0340-26-127316,2026-09-15,IntakeComplete,Restaurant,Home Of The Crust Inc,Vincent's Pizzeria & Restaurant,751 Route 109,West Babylon,11704,Suffolk
NA-0071-26-127302,2026-09-15,IntakeComplete,Grocery Store,Ziad Deli & Grocery Inc,,51 Lawrence St,Yonkers,10705,Westchester
NA-0081-26-127300,2026-09-15,IntakeComplete,Grocery Store,Oscar Deli Grocery BK Corp,,411 New Lots Ave,Brooklyn,11207,Kings
NA-0081-26-127297,2026-09-15,IntakeComplete,Grocery Store,Cafeteria Serie 54 3 LLC,,259 E 167th St,Bronx,10456,Bronx
NA-0240-26-127284,2026-09-15,IntakeComplete,Restaurant,43-13 Restaurant Corp,,43-13 Broadway,Astoria,11103,Queens
NA-0071-26-127287,2026-09-15,IntakeComplete,Grocery Store,3 Kingz Deli LLC,,902 Clarkson Ave,Brooklyn,11203,Kings
NA-0340-26-127280,2026-09-15,IntakeComplete,Restaurant,MMS Yonkers LLC,,1 Van Der Donck St,Yonkers,10701,Westchester
NA-0370-26-127272,2026-09-15,IntakeComplete,Food & Beverage Business,Non Ride Mai Inc.,,207 Dekalb Ave,Brooklyn,11205,Kings
NA-0081-26-126208,2026-09-14,IntakeComplete,Grocery Store,Beer and Smoke Convenience Inc,,25 Sills Rd,East Patchogue,11772,Suffolk
NA-0100-26-327203,2026-09-14,IntakeComplete,Liquor Store,PRABHGUR CORPORATION,Lansing Liquor Store,3109 N Triphammer Rd,Lansing,14882,Tompkins
NA-0346-26-127173,2026-09-14,IntakeComplete,Catering Establishment,TROPICAL CATERING INC.,,1363 Utica Ave,Brooklyn,11203,Kings
NA-0343-26-327184,2026-09-14,IntakeComplete,Hotel,BIG RED HOTELIERS LLC,Courtyard Ithaca Airport,29 Thornwood Dr,Ithaca,14850,Tompkins
NA-0340-26-127181,2026-09-14,IntakeComplete,Restaurant,Asadero De Dona Pula Corp,,1160 1168 Castle Hill Ave,Bronx,10462,Bronx
NA-0343-26-127158,2026-09-14,IntakeComplete,Hotel,Manga Chelsea LLC & Blue Comfort Group Inc,The Chelsean New York Hotel,158 160 W 25th St,New York,10001,New York
NA-0100-26-127152,2026-09-14,IntakeComplete,Liquor Store,Jackson Heights Wine & Spirit LLC,Jackson Heights Wine & Spirits,75-79 31st Ave,Jackson Heights,11370,Queens
NA-0370-26-227144,2026-09-14,IntakeComplete,Food & Beverage Business,"The Caddy Shack NY, LLC",,1400 Route 300 Ste 7,Newburgh,12550,Orange
NA-0340-26-127142,2026-09-14,IntakeComplete,Restaurant,NOTHING BUT BRUNCH LLC,Flamingo Baby Brunch & Bar,348 Douglass St,Brooklyn,11217,Kings
NA-0340-26-127138,2026-09-14,IntakeComplete,Restaurant,"BREEZE FULTON, INC.",Night Cactus,590 Fulton St,Brooklyn,11217,Kings
NA-0343-26-327122,2026-09-14,IntakeComplete,Hotel,KASHI ASSOCIATES LLC,Roycroft Inn,40 S Grove St,East Aurora,14052,Erie
NA-0370-26-227117,2026-09-14,IntakeComplete,Food & Beverage Business,GERSH AND SONS HOLDINGS INC.,Judds Tavern,56 South St,Glens Falls,12801,Warren
NA-0082-26-127106,2026-09-14,IntakeComplete,Drug Store,Duane Reade,,305 Broadway,New York,10007,New York
NA-0340-26-127110,2026-09-14,IntakeComplete,Restaurant,BARENA KITCHEN AND COCKTAILS CORP.,Barena Kitchen & Cocktails,3115 Long Beach Rd,Oceanside,11572,Nassau
NA-0081-26-127099,2026-09-14,IntakeComplete,Grocery Store,Lala's Grocery Inc.,,1553 Westchester Ave,Bronx,10472,Bronx
