application_id,received,status,license_class,legal_name,trade_name,premises_address,city,zip,county
NA-0081-26-126848,2026-09-11,IntakeComplete,Grocery Store,Parbat Inc,,550 Atlantic Ave,Oceanside,11572,Nassau
NA-0349-26-226818,2026-09-10,IntakeComplete,Club,Silo Ridge Club Beverage Corp,Cabin Preserve,18 Prospect Ave,Amenia,12501,Dutchess
NA-0350-26-226811,2026-09-10,IntakeComplete,Summer Club,Silo Ridge Club Beverage Corp,Grain Bin Bar,4391 NY-22,Amenia,12501,Dutchess
NA-0081-26-126805,2026-09-10,IntakeComplete,Grocery Store,"Willets Point Mini-Market, Inc.",,126-43 39th Avenue,Flushing,11368,Queens
NA-0340-26-121959,2026-09-10,IntakeComplete,Restaurant,Airport Mart Inc.,,240 Airport Rd,West Harrison,10604,Westchester
NA-0111-26-126794,2026-09-10,IntakeComplete,Restaurant,Fusion & Tradicion Restaurant Inc.,,101 Mamaroneck Ave,White Plains,10601,Westchester
NA-0240-26-126784,2026-09-10,IntakeComplete,Restaurant,We Village Corp.,,153-04 Northern Blvd,Flushing,11354,Queens
NA-0343-26-226769,2026-09-10,IntakeComplete,Hotel,Emerald Hotels LLC,,2165 South Rd,Poughkeepsie,12601,Dutchess
NA-0267-26-126761,2026-09-10,IntakeComplete,Food & Beverage Business,AJ 2nd Ave LLC,,254 E 89th St,New York,10128,New York
NA-0340-26-326733,2026-09-10,IntakeComplete,Restaurant,CKBISTRO CORP.,,3450 Winton Pl,Rochester,14623,Monroe
NA-0340-26-126724,2026-09-10,IntakeComplete,Restaurant,Sabor De Mi Abuela Mar Y Tierra Restaurant II Corp.,,935 E 163rd St Frnt 2,Bronx,10459,Bronx
NA-0340-26-126714,2026-09-10,IntakeComplete,Restaurant,Lechoneria New York I Corp.,,71-04 Grand Avenue,Maspeth,11378,Queens
NA-0340-26-126699,2026-09-10,IntakeComplete,Restaurant,Reka Darida Foundation,,1065 Madison Ave,New York,10028,New York
NA-0081-26-126691,2026-09-10,IntakeComplete,Grocery Store,Quick Stop 66 Inc.,,66 S Franklin St,Hempstead,11550,Nassau
NA-0081-26-126687,2026-09-10,IntakeComplete,Grocery Store,3485 San Miguel Deli Corp,,3485 Boston Rd,Bronx,10469,Bronx
NA-0100-26-126678,2026-09-10,IntakeComplete,Liquor Store,Ninja Pants LLC,French Therapy Wines & Spirits,16 Saint Marks Pl,New York,10003,New York
NA-0081-26-226675,2026-09-10,IntakeComplete,Grocery Store,In & Out Mini Market Inc.,,7802 Maple Rd,Baldwinsville,13027,Onondaga
NA-0081-26-126672,2026-09-10,IntakeComplete,Grocery Store,Wantagh Dairy Mart LLC,,2257 Wantagh Ave,Wantagh,11793,Nassau
NA-0100-26-126631,2026-09-10,IntakeComplete,Liquor Store,Kora Fine Wine and Liquors LLC,,23-18 31st St,Astoria,11105,Queens
NA-0081-26-226617,2026-09-09,IntakeComplete,Grocery Store,272 Catskill One Stop Inc,,272 W Bridge St,Catskill,12414,Greene
NA-0100-26-126602,2026-09-09,IntakeComplete,Liquor Store,City Worlds Wine & Liquor LLC,,106-08 Astoria Blvd,East Elmhurst,11369,Queens
NA-0081-26-226597,2026-09-09,IntakeComplete,Grocery Store,Aviation One Stop Inc,,527 Aviation Rd,Queensbury,12804,Warren
NA-0346-26-226576,2026-09-09,IntakeComplete,Catering Establishment,"Compass Group USA, Inc.",,65 1st St,Troy,12180,Rensselaer
NA-0240-26-326585,2026-09-09,IntakeComplete,Restaurant,"Light Years Fermentation, LLC",,8784 State Route 17C,Endicott,13760,Tioga
NA-0081-26-326560,2026-09-09,IntakeComplete,Grocery Store,Horseheads One Stop Inc,,2150 Grand Central Ave,Horseheads,14845,Chemung
NA-0081-26-226544,2026-09-09,IntakeComplete,Grocery Store,Quaker One Stop Inc,,756 Quaker Rd,Queensbury,12804,Warren
NA-0081-26-126532,2026-09-09,IntakeComplete,Grocery Store,1616 Organic Inc,,1616 3rd Ave,New York,10128,New York
NA-0081-26-226503,2026-09-09,IntakeComplete,Grocery Store,Halfmoon One Stop Inc,,1698 Route 9,Halfmoon,12065,Saratoga
NA-0370-26-226459,2026-09-08,IntakeComplete,Food & Beverage Business,Gualtieri Restaurant Inc,Bella Luna Tavern,407 E Dominick St,Rome,13440,Oneida
NA-0340-26-126453,2026-09-08,IntakeComplete,Restaurant,Aussie Burger Inc,,149 Nassau Blvd,West Hempstead,11552,Nassau
NA-0340-26-326442,2026-09-08,IntakeComplete,Restaurant,Oak & Ash LLC,,1900 Empire Blvd Ste 605-610,Webster,14580,Monroe
NA-0309-26-226421,2026-09-08,IntakeComplete,Athletic/Sporting Event/Expositions/Large Gathering Venue,"Compass Group USA, Inc.",,4400 Vestal Pkwy E,Binghamton,13902,Broome
NA-0100-26-126418,2026-09-08,IntakeComplete,Liquor Store,809 Wine and Liquors Discount Corp.,,213 Utica Ave,Brooklyn,11213,Kings
NA-0081-26-126410,2026-09-08,IntakeComplete,Grocery Store,JSJBN JI LLC,,396 Larkfield Rd Unit A,East Northport,11731,Suffolk
NA-0081-26-226392,2026-09-08,IntakeComplete,Grocery Store,"7-ELEVEN, INC.",7-ELEVEN FOOD STORES #35140J,2620 Niagara St,Niagara Falls,14303,Niagara
NA-0340-26-126405,2026-09-08,IntakeComplete,Restaurant,RUMSUM INC.,OB UAN,1479 1st Ave,New York,10075,New York
NA-0340-26-126395,2026-09-08,IntakeComplete,Restaurant,"JFK T4 F&B II, LLC",,"JFK Int'l Airport, Terminal 4, Spc HM02, Main Terminal Bldg",Jamaica,11430,Queens
NA-0370-26-126400,2026-09-08,IntakeComplete,Food & Beverage Business,RIDGEWOOD BAR & DELI LLC,The Pocket,1071 Broadway,Brooklyn,11221,Kings
NA-0340-26-126390,2026-09-08,IntakeComplete,Restaurant,BV NYC INC.,Burger Village,250 Main St,White Plains,10601,Westchester
NA-0240-26-126388,2026-09-08,IntakeComplete,Restaurant,GYP INDUSTRIES INC.,,37-18 Main St,Flushing,11354,Queens
NA-0340-26-226381,2026-09-08,IntakeComplete,Restaurant,"Nana's Colombian Bakery Midtown, Corp.",,102 North St Ste A,Middletown,10940,Orange
NA-0240-26-126385,2026-09-08,IntakeComplete,Restaurant,WASHOKU KYO INC.,Washoku Kyo,6221 18th Ave,Brooklyn,11204,Kings
NA-0071-26-226361,2026-09-08,IntakeComplete,Grocery Store,X20 Convenience Inc.,,519 Albany St,Little Falls,13365,Herkimer
