camis,restaurant,cuisine,building,street,borough,zip,phone,inspected,inspection_type,violation_code,violation,critical,action,score,grade
50019277,LENWICH,American,459,PARK AVENUE SOUTH,Manhattan,10016,***-***-**53,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,11,A
50039387,NUR THAI,Thai,63-32,WOODHAVEN BOULEVARD,Queens,11374,***-***-**41,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,75,
50041388,O OHAYO BREAD HOUSE,Bakery Products/Desserts,271,GRAND STREET,Manhattan,10002,***-***-**59,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,24,
50062832,EVELINA'S,Italian,211,DEKALB AVENUE,Brooklyn,11205,***-***-**56,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,10,A
50090858,YIP SZECHUAN RESTAURANT,Chinese,65-41,MYRTLE AVENUE,Queens,11385,***-***-**45,2026-09-16,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,23,
50099575,TV EYE,Mexican,1647,WEIRFIELD STREET,Queens,11385,***-***-**56,2026-09-16,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,22,
50102706,TOP THAI,Thai,55,CARMINE STREET,Manhattan,10014,***-***-**73,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,21,
50109439,BBQ VILLAGE,Pakistani,181-12,HILLSIDE AVENUE,Queens,11432,***-***-**01,2026-09-16,Cycle Inspection / Compliance Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,27,
50111723,LE PAIN QUOTIDIEN,Bakery Products/Desserts,685,3 AVENUE,Manhattan,10017,***-***-**69,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,22,
50111727,KFC,Chicken,1922,3 AVENUE,Manhattan,10029,***-***-**99,2026-09-16,Cycle Inspection / Initial Inspection,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,32,
50113973,BELLA UNION,American,411,3 AVENUE,Manhattan,10016,***-***-**02,2026-09-16,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,12,A
50115858,FORTUNE HOUSE,Chinese,82,HENRY STREET,Brooklyn,11201,***-***-**55,2026-09-16,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,17,
50122546,TAQUERIA LOS ANGELES,Mexican,2558,GRAND CONCOURSE,Bronx,10458,***-***-**51,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,13,A
50127429,COCINA MAMA ROSA,Latin American,689,SENECA AVENUE,Queens,11385,***-***-**11,2026-09-16,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,12,A
