camis,restaurant,cuisine,building,street,borough,zip,phone,inspected,inspection_type,violation_code,violation,critical,action,score,grade
50111723,LE PAIN QUOTIDIEN,Bakery Products/Desserts,685,3 AVENUE,Manhattan,10017,3329109069,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,22,
50111727,KFC,Chicken,1922,3 AVENUE,Manhattan,10029,2124230599,2026-09-16,Cycle Inspection / Initial Inspection,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,32,
50113973,BELLA UNION,American,411,3 AVENUE,Manhattan,10016,2123581902,2026-09-16,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,12,A
50115858,FORTUNE HOUSE,Chinese,82,HENRY STREET,Brooklyn,11201,7188557055,2026-09-16,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,17,
50122546,TAQUERIA LOS ANGELES,Mexican,2558,GRAND CONCOURSE,Bronx,10458,3475770951,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,13,A
50127429,COCINA MAMA ROSA,Latin American,689,SENECA AVENUE,Queens,11385,7184171111,2026-09-16,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,12,A
50129215,DECADES PIZZA,Pizza,690,WOODWARD AVE,Queens,11385,3477630018,2026-09-16,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,21,
50133005,LI'S GARDEN,Chinese,42-87,MAIN STREET,Queens,11355,7183592108,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,35,
50133622,ISLAND CRAVE,Caribbean,1,WEST 137 STREET,Manhattan,10037,3474539927,2026-09-16,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,35,Z
50152126,LET'S GO! YA SOUVLAKIA,Greek,295,FLATBUSH AVENUE,Brooklyn,11217,3472211863,2026-09-16,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,26,
50153203,D-LITE CAFE,American,45-19,BROADWAY,Queens,11103,6465295813,2026-09-16,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,33,Z
50157021,POKE FAN,Japanese,206,LIVINGSTON STREET,Brooklyn,11201,9295921716,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,31,
50160675,EXQUISITE EXPRESS,Caribbean,2847,CHURCH AVENUE,Brooklyn,11226,3472672437,2026-09-16,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,36,
50161373,HK BAKERY,Bakery Products/Desserts,134-32,NORTHERN BOULEVARD,Queens,11354,7188868393,2026-09-16,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,38,Z
50162704,MEDITERRA,Bakery Products/Desserts,36-27,31 STREET,Queens,11106,7184403488,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,12,A
50163556,NOYA CAFE,American,2303,ARTHUR AVENUE,Bronx,10458,9142074305,2026-09-16,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,22,
50164374,GREENPOINT CAFE & BAKERY,Bakery Products/Desserts,41-02A,GREENPOINT AVENUE,Queens,11104,9172770991,2026-09-16,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,25,
50165681,LAHORI KABAB,Pakistani,106,LEXINGTON AVENUE,Manhattan,10016,6315350375,2026-09-16,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,33,Z
50180148,EL MEXICANO RESTAURNT & CAFE,Mexican,310,DITMAS AVENUE,Brooklyn,11218,7184840111,2026-09-16,Pre-permit (Operational) / Initial Inspection,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,21,N
50183377,NORTH DUMPLING,Chilean,23,ESSEX STREET,Manhattan,10002,7189157783,2026-09-16,Pre-permit (Operational) / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,26,N
50183579,PURE GREEN,"Juice, Smoothies, Fruit Salads",2041,BROADWAY,Manhattan,10023,6464541650,2026-09-16,Pre-permit (Operational) / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,32,N
50190508,S & P Cafe and Grill,American,2252,5 AVENUE,Manhattan,10037,9144132048,2026-09-16,Pre-permit (Operational) / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,39,N
41142210,BARBOUNIA,Mediterranean,250,PARK AVENUE SOUTH,Manhattan,10003,2129950242,2026-09-15,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,49,
41193113,SOSAKU JAPANESE RESTAURANT,Japanese,6328,AVENUE N,Brooklyn,11234,7189682800,2026-09-15,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,44,
41216379,CLUB CUMMING,American,505,EAST 6 STREET,Manhattan,10009,2127772555,2026-09-15,Cycle Inspection / Initial Inspection,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,28,
41275275,WHISKEY TOWN,American,29,EAST 3 STREET,Manhattan,10003,2125057344,2026-09-15,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,27,
41411052,MOLE,Mexican,178,KENT AVENUE,Brooklyn,11249,3473842300,2026-09-15,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,27,
41450604,BAGELS & CO,Jewish/Kosher,188-02,UNION TURNPIKE,Queens,11366,7182177755,2026-09-15,Cycle Inspection / Compliance Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,19,
41627290,KELLY D JAMAICAN AND AMERICAN RESTAURANT,Caribbean,110-50,SUTPHIN BOULEVARD,Queens,11435,7186582300,2026-09-15,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,13,A
41712395,BROOKLYN STANDARD,Sandwiches,188,NASSAU AVENUE,Brooklyn,11222,7184722150,2026-09-15,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,13,A
50005783,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Caribbean,22324,S CONDUIT AVE,Queens,11413,7183411600,2026-09-15,Cycle Inspection / Reopening Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Establishment re-closed by DOHMH.,12,
50033749,BARRY'S NOHO,"Juice, Smoothies, Fruit Salads",419,LAFAYETTE STREET,Manhattan,10003,2122604777,2026-09-15,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,11,A
50042319,LITTLE MISS MUFFIN 'N' HER STUFFIN,Caribbean,768,WASHINGTON AVENUE,Brooklyn,11238,7188574963,2026-09-15,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,12,A
50052779,AMAMI SUSHI,Japanese,57,NASSAU AVENUE,Brooklyn,11222,9179091568,2026-09-15,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,12,A
50053916,DO OR DIVE,American,1108,BEDFORD AVENUE,Brooklyn,11216,2035204143,2026-09-15,Cycle Inspection / Initial Inspection,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,22,
50059141,EMPLOYEE'S CAFETERIA,American,374,STOCKHOLM STREET,Brooklyn,11237,7189637254,2026-09-15,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,43,
50059509,BARN JOO,Korean,35,UNION SQUARE WEST,Manhattan,10003,6463989663,2026-09-15,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,12,A
50086139,DEATH & CO.,American,433,EAST 6 STREET,Manhattan,10009,2123880882,2026-09-15,Cycle Inspection / Re-inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,21,Z
50089228,GINBO'S HAMBURGER HOUSE,Hamburgers,252,SAINT ANNS AVENUE,Bronx,10454,3478796572,2026-09-15,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,24,
50096818,"CIAO, GLORIA",Sandwiches/Salads/Mixed Buffet,550,VANDERBILT AVENUE,Brooklyn,11238,7166662426,2026-09-15,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,27,
50113280,SALMA,Lebanese,351,EAST 12 STREET,Manhattan,10003,9172614900,2026-09-15,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,25,
50118276,Vinny's gluten free kitchen,Pizza,658,9TH AVE,Manhattan,10036,9176757587,2026-09-15,Cycle Inspection / Re-inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,49,Z
50124631,THE PIZZA INN,Pizza,198,UNION AVENUE,Brooklyn,11211,3475991230,2026-09-15,Cycle Inspection / Re-inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,26,Z
50125738,IL TINELLO,Italian,244,EAST 46 STREET,Manhattan,10017,6466827284,2026-09-15,Cycle Inspection / Re-inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,13,A
50125810,BIRCH COFFEE,Coffee/Tea,240,EAST 54 STREET,Manhattan,10022,9178416564,2026-09-15,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,20,
50129812,N BAKERY,Bakery Products/Desserts,1323,AVENUE U,Brooklyn,11229,3477858287,2026-09-15,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,13,A
50131100,CHINA SING,Chinese,109-16,SUTPHIN BOULEVARD,Queens,11435,7186570796,2026-09-15,Cycle Inspection / Re-inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,11,A
50131747,HOMECOMING,Coffee/Tea,116,FRANKLIN STREET,Brooklyn,11222,3479224449,2026-09-15,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,13,A
50134106,WINGSTOP,Chicken,40-11,QUEENS BOULEVARD,Queens,11104,2126191222,2026-09-15,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,19,
50145886,CRISPIN'S HELL'S KITCHEN,Italian,1792,AMSTERDAM AVENUE,Manhattan,10031,6466660958,2026-09-15,Cycle Inspection / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,32,N
50147040,MY BLACK THAI,Thai,81-16,NORTHERN BOULEVARD,Queens,11372,7187798424,2026-09-15,Cycle Inspection / Reopening Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Establishment re-closed by DOHMH.,13,
50147250,SWEET BAMBOO 2,Chinese,107-56,SUTPHIN BOULEVARD,Queens,11435,6467072334,2026-09-15,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,13,A
50150136,GREEK XPRESS,Mediterranean,229,PROSPECT PARK WEST,Brooklyn,11215,3478449377,2026-09-15,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,22,
50153850,EMPIRE SHOP,Sandwiches/Salads/Mixed Buffet,47-10,39 PLACE,Queens,11104,9294712513,2026-09-15,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,13,A
50160270,WESTLAND ROE,American,174,WEST 72 STREET,Manhattan,10023,9178468445,2026-09-15,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,12,A
50160488,EL CHANGARRITO DE LA VIAGRA,Mexican,1814,AMSTERDAM AVENUE,Manhattan,10031,6463296582,2026-09-15,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,32,
50164184,PIZZA EXPRESS,Pizza,3240,3 AVENUE,Bronx,10451,3479853301,2026-09-15,Pre-permit (Operational) / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,56,N
50166995,WONTON NOODLE 1978,Chinese,56,MOTT STREET,Manhattan,10013,2122192713,2026-09-15,Cycle Inspection / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,49,N
50167695,UNION BISTRO STEAKHOUSE AND SUSHI,Jewish/Kosher,190-11,UNION TURNPIKE,Queens,11366,9173960574,2026-09-15,Pre-permit (Operational) / Re-inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,23,Z
50169116,PASTA EATER N GO,Italian,744,9 AVENUE,Manhattan,10019,9176978610,2026-09-15,Pre-permit (Operational) / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,13,A
50172574,Halal Crunchies,American,262,CYPRESS AVENUE,Bronx,10454,3473689994,2026-09-15,Pre-permit (Operational) / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,13,A
50178974,MADMAN ESPRESSO,American,311,11 AVENUE,Manhattan,10001,3477811121,2026-09-15,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,36,N
50184934,GELATOVILLE HK LLC,Bakery Products/Desserts,692,9 AVENUE,Manhattan,10036,6469547576,2026-09-15,Pre-permit (Operational) / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,26,N
40609087,STRAUSS BAKERY,Jewish/Kosher,5115,13 AVENUE,Brooklyn,11219,7188517728,2026-09-14,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,26,Z
40872325,EL AGUILA BAKERY,Bakery Products/Desserts,3910,FT HAMILTON PARKWAY,Brooklyn,11218,7184379341,2026-09-14,Cycle Inspection / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,18,
41008329,NATIONAL BAKERY,Bakery Products/Desserts,1522,WESTCHESTER AVENUE,Bronx,10472,7188422396,2026-09-14,Cycle Inspection / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,21,
